Fwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Total,Bwd IAT Mean,Packet Length Mean,Label,NormPacket_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_IAT_Total,NormFlow_IAT_Mean,NormFwd_IAT_Mean,NormFlow_IAT_Std,NormBwd_IAT_Mean
70.611220,3.364118,14228.449936,7.569262,60554075,6.728231,655.050000,http,4.367000,0.980941,0.050471,10.000000,10.000000,10.000000,0.049529
72.191214,0.260510,612.905257,0.477586,2865564,716.391000,332.076923,http,2.213846,1.002891,0.002388,10.000000,10.000000,7.957790,5.273634
114.500000,0.167017,408.743842,0.333953,1002046,501.023000,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.307016,3.688226
95.500000,0.166970,408.629691,0.333863,1001762,500.881000,23875.000000,http,10.000000,1.326700,0.000835,10.000000,10.000000,5.305534,3.687181
97.740180,0.091506,278.093646,0.169905,1189530,237.906000,302.933333,http,2.019556,1.357821,0.000991,10.000000,10.000000,3.610690,1.751319
114.500000,0.166991,408.697707,0.333905,1001895,0.500947,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.306417,0.003688
72.191214,0.261732,616.465009,0.479822,2879007,0.719752,332.076923,http,2.213846,1.002891,0.002400,10.000000,10.000000,8.004009,0.005298
114.500000,167.008000,408.773803,0.333954,1002008,501.004000,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.307405,3.688086
95.500000,0.167025,408.700989,0.333910,1002121,0.501061,23875.000000,http,10.000000,1.326700,0.000835,10.000000,10.000000,5.306459,0.003689
97.740180,0.110135,292.584232,0.204501,1431701,0.286340,302.933333,http,2.019556,1.357821,0.001193,10.000000,10.000000,3.798832,0.002108
114.500000,0.166981,408.705787,333.903000,1001842,500.921000,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.306522,3.687475
34.756294,0.003063,7.240380,6.869000,27514,0.006879,28.818182,http,0.192121,0.482839,0.000023,10.000000,10.000000,0.094007,0.000051
72.191214,0.261713,615.889595,479.786000,2878799,0.719700,332.076923,http,2.213846,1.002891,0.002399,10.000000,10.000000,7.996538,0.005298
114.500000,0.167021,408.778132,0.333979,1002073,0.501036,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.307461,0.003688
95.500000,0.166981,408.717710,0.333907,1001846,500.923000,23875.000000,http,10.000000,1.326700,0.000835,10.000000,10.000000,5.306676,3.687490
97.740180,0.094390,279.353678,0.175269,1227032,0.245406,302.933333,http,2.019556,1.357821,0.001023,10.000000,10.000000,3.627050,0.001807
114.500000,0.166977,408.719832,0.333897,1001827,0.500914,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.306704,0.003687
72.191214,0.273419,650.073675,0.501248,3007581,0.751895,332.076923,http,2.213846,1.002891,0.002507,10.000000,10.000000,8.440375,0.005535
